Contaminant Level (ppm),Population Density (people per km²),Access to Clean Water (% of Population),pH Level,Turbidity (NTU),Rainfall (mm per year),Healthcare Access Index (0-100),Region,Dissolved Oxygen (mg/L),Nitrate Level (mg/L),Temperature (°C),GDP per Capita (USD),Country,Sanitation Coverage (% of Population),Bacteria Count (CFU/mL),"Diarrheal Cases per 100,000 people"
7.27,416,96.02,7.42,1.34,502,76.85,West,6.16,42.34,38.18,69179,USA,85.64,1096,30
9.99,804,88.73,7.29,2.83,1353,94.1,West,8.93,31.09,34.58,74955,Nigeria,80.99,3742,233
9.9,563,74.78,7.64,4.04,2715,71.75,South,7.35,31.7,7.97,87810,Mexico,90.2,4483,83
7.44,273,42.98,7.32,2.8,545,48.1,East,4.26,11.08,13.99,8074,Brazil,43.39,3719,483
7.4,230,90.87,6.57,4.68,375,18.97,Central,4.48,20.78,28.32,9806,Brazil,53.05,4771,41
2.48,788,82.83,6.5,4.05,2441,51.63,East,3.04,17.22,7.66,67713,Brazil,24.95,2696,201
8.34,926,48.68,8.27,0.78,2584,71.17,East,7.97,0.57,23.63,35311,Bangladesh,52.91,4266,250
4.05,764,86.36,6.66,1.94,1402,85.42,Central,6.4,15.66,21.39,8181,Mexico,37.58,808,386
9.62,53,91.4,6.7,3.34,1975,32.41,West,9.65,24.3,11.67,94576,India,84.43,2151,84
0.81,432,78.88,7.03,4.69,2891,51.05,Central,8.0,29.99,12.02,32214,Nigeria,72.5,3293,483
4.36,999,37.03,6.35,4.94,280,62.0,East,3.72,46.73,20.65,69150,Brazil,82.54,1305,182
5.56,298,98.9,7.27,3.82,2408,58.86,West,4.13,11.96,11.99,46921,China,67.4,3459,265
4.05,588,35.32,7.66,2.87,606,5.24,North,6.51,7.62,7.21,5353,Mexico,67.83,2419,70
2.11,832,75.81,7.97,3.78,1404,48.34,Central,9.47,43.47,30.93,93455,Bangladesh,38.82,4224,21
5.93,790,37.74,7.78,1.37,1492,80.9,Central,4.73,47.09,23.27,27962,Mexico,73.59,1196,406
7.56,45,93.38,6.37,1.42,1793,80.23,West,8.78,24.4,17.51,62665,Nigeria,31.52,4567,75
6.45,608,54.5,7.14,3.27,693,50.71,North,5.19,5.76,7.25,97141,Bangladesh,42.07,3524,486
2.34,547,65.81,6.1,4.36,2438,95.24,North,4.89,24.27,23.77,7099,Nigeria,34.4,1525,268
7.32,467,42.51,6.04,4.85,1544,82.62,West,9.31,5.47,25.14,29946,Mexico,95.96,1599,167
2.57,303,68.26,7.1,1.71,1583,73.73,South,3.33,44.16,19.19,2841,India,91.85,1044,378
1.75,109,95.72,6.63,3.98,753,51.56,Central,7.63,35.41,14.91,55971,Nigeria,89.99,2153,396
6.91,160,93.11,7.71,4.26,1318,59.07,Central,3.3,12.06,34.69,45512,Bangladesh,96.81,1867,352
8.43,145,34.47,7.81,3.12,2603,22.32,East,8.61,44.33,28.19,83529,Bangladesh,69.01,1375,350
4.82,791,56.48,8.24,1.74,1824,53.24,West,8.81,31.9,14.25,61425,Nigeria,91.58,611,239
5.31,289,48.72,7.9,3.1,2617,52.6,East,9.25,47.66,23.72,27717,Ethiopia,43.35,3316,50
3.03,384,63.7,6.12,2.92,2992,20.28,East,4.3,49.02,9.35,88892,Mexico,50.78,1598,447
4.95,475,88.36,6.93,3.03,2543,95.11,North,3.87,0.16,0.46,7908,Ethiopia,57.36,4949,475
1.32,433,81.72,6.68,3.1,2268,24.48,Central,6.52,6.01,34.75,36341,Indonesia,27.15,1977,82
9.56,622,54.08,6.97,4.24,872,10.42,East,4.9,27.35,32.76,22254,Mexico,85.98,4397,468
8.0,503,56.79,6.4,0.85,2614,46.7,North,7.24,47.79,25.58,38813,Nigeria,29.53,638,351
6.68,674,75.8,6.24,1.84,2957,68.61,West,6.6,49.71,32.45,66951,USA,83.97,4166,89
5.38,127,43.6,7.3,2.93,2801,19.52,East,4.01,28.37,31.23,82681,Nigeria,93.78,1922,381
7.92,760,37.19,7.8,1.42,748,18.29,Central,8.17,8.69,34.41,38782,Ethiopia,65.43,645,12
4.95,989,46.98,7.75,4.89,1935,26.15,East,8.63,8.15,35.67,48312,India,33.27,4269,156
3.0,418,38.68,7.13,1.32,1608,30.27,West,9.74,38.19,32.75,57802,Nigeria,54.94,1998,198
1.6,26,54.64,7.31,2.35,1889,24.62,East,5.77,29.6,34.07,70939,Nigeria,31.11,89,430
6.48,653,95.63,7.29,4.39,2286,47.07,Central,5.36,27.44,20.07,46103,India,29.52,3278,153
9.29,260,38.42,7.73,0.4,2294,1.83,North,4.35,23.29,28.32,52314,Nigeria,80.49,2366,197
1.54,606,87.28,6.12,4.1,1535,8.75,Central,4.27,36.26,13.33,39509,Brazil,51.44,823,223
1.8,733,67.43,7.77,2.86,1333,72.94,North,5.25,42.9,34.45,89357,USA,20.01,550,483
4.34,886,74.3,7.46,0.16,385,41.23,South,9.87,15.15,34.34,35240,China,23.88,59,117
8.07,888,41.91,6.5,4.51,1123,36.03,Central,3.65,11.05,2.65,35442,USA,85.42,4222,150
2.94,114,40.6,6.12,0.2,2206,1.04,Central,4.82,33.51,13.88,50979,Nigeria,69.58,4178,243
2.54,858,41.39,6.27,2.58,2574,29.82,West,3.6,45.74,6.86,21774,Brazil,87.56,1243,74
6.2,620,76.69,7.31,0.25,1951,82.12,East,4.92,17.41,5.43,28961,Mexico,41.89,3479,439
5.36,50,82.35,7.9,0.36,2357,34.04,North,3.65,13.62,16.6,63342,Nigeria,45.15,945,212
0.6,581,94.42,6.84,4.44,2420,96.37,North,6.56,11.31,25.03,89734,Ethiopia,69.35,1640,274
0.81,608,57.87,6.95,3.83,1544,39.0,West,6.07,12.72,13.75,9531,Brazil,73.21,1952,353
6.43,478,62.34,8.34,0.98,2763,46.41,West,4.22,6.75,12.37,45296,India,22.12,2633,496
4.65,564,62.87,6.53,3.1,2180,80.19,East,4.22,29.84,3.78,93925,Brazil,92.58,3501,366
9.71,959,48.89,6.26,3.97,260,98.3,East,7.38,14.04,15.32,94260,India,83.93,889,243
6.79,829,52.98,6.86,4.45,1394,37.16,Central,5.71,30.75,18.84,56378,Indonesia,30.55,573,177
0.1,542,89.28,7.86,2.34,2091,11.99,South,3.39,4.15,15.95,17431,China,20.83,512,107
4.81,673,54.06,7.57,4.49,1352,52.31,East,9.44,5.77,27.2,45622,Pakistan,81.53,4160,290
4.14,430,90.84,7.04,2.54,2906,59.18,West,5.83,26.81,11.53,77894,Brazil,92.23,1964,176
1.07,643,51.37,8.41,3.44,1274,95.95,East,7.14,25.58,28.64,62621,Bangladesh,45.77,4051,478
9.23,987,53.79,7.84,4.9,1799,41.39,North,9.2,13.58,35.31,63438,Ethiopia,45.66,2230,173
8.05,513,69.22,6.15,1.18,2138,9.08,South,5.82,41.36,23.65,60470,Nigeria,61.17,2283,92
2.3,693,37.22,7.86,0.84,1805,65.09,Central,8.74,9.35,15.55,88149,Ethiopia,73.96,4984,453
2.56,220,94.54,6.06,1.71,2208,2.11,North,9.4,18.03,7.19,95544,USA,71.81,611,99
0.32,142,87.43,7.63,0.82,1246,42.54,North,4.22,27.78,37.3,38820,Pakistan,80.21,437,180
2.97,966,76.94,6.53,1.42,968,40.96,South,9.25,43.36,30.07,69912,USA,29.12,1459,158
5.85,309,99.17,7.74,3.71,1284,25.48,Central,3.84,20.93,9.86,88301,Indonesia,61.59,523,95
4.21,228,31.12,6.77,2.39,406,96.43,West,4.93,19.93,6.03,59169,Pakistan,60.51,3577,231
9.69,399,58.77,8.18,1.88,992,40.34,Central,8.66,28.98,1.97,37059,Pakistan,95.99,4895,250
0.56,343,90.08,6.84,1.84,1076,89.47,East,9.3,15.83,7.62,85291,USA,93.46,3398,339
5.91,396,60.31,7.55,0.97,2099,51.51,North,7.79,35.46,29.3,1074,India,80.03,2261,405
8.58,586,30.37,6.71,2.24,1224,82.05,East,3.73,12.43,25.18,1601,USA,90.15,1023,66
4.81,680,41.04,8.29,3.12,2799,45.14,West,6.66,41.16,38.7,18259,Ethiopia,79.65,1579,391
0.03,960,60.39,7.95,0.7,2240,99.15,East,7.01,13.62,12.88,95538,India,77.64,321,236
2.43,310,76.76,6.61,4.86,2524,64.0,Central,4.97,49.64,31.46,38502,Ethiopia,37.26,3126,18
3.24,123,41.39,8.37,2.22,958,15.59,East,9.94,15.82,4.82,86368,Indonesia,69.38,2831,286
9.66,595,61.36,6.89,4.74,2162,0.64,West,5.35,43.94,22.5,79852,Nigeria,93.28,4275,287
9.12,832,30.9,7.63,0.67,1361,92.89,West,4.47,19.87,18.67,72910,Mexico,80.01,2427,206
9.49,69,63.43,7.86,3.84,2569,68.68,West,3.77,12.3,33.53,48781,India,68.38,2980,310
8.26,936,92.71,6.06,3.09,1859,10.63,Central,5.65,11.31,28.06,14819,Indonesia,40.65,3757,102
3.52,775,71.77,8.4,4.1,1826,74.35,West,7.85,42.51,7.77,86224,Bangladesh,74.29,449,158
9.06,764,60.85,6.86,3.0,2493,22.71,North,4.62,15.44,39.36,86884,Indonesia,47.76,1284,194
9.82,124,41.36,6.47,4.81,1200,80.92,West,8.39,16.93,32.93,39113,USA,25.22,3518,50
3.5,986,44.17,8.13,3.13,1719,60.99,East,3.95,9.85,14.19,36999,USA,39.15,1660,377
2.61,304,35.36,7.76,3.92,675,12.37,East,6.08,48.07,33.04,24409,Mexico,51.14,903,223
5.47,389,81.97,6.22,4.39,325,7.09,East,7.92,12.24,38.28,21281,Indonesia,99.73,1177,201
1.87,625,35.4,6.29,3.57,2513,46.61,Central,3.95,12.37,35.61,90307,China,80.81,329,91
0.33,569,56.88,7.79,2.62,2171,93.69,East,7.18,47.19,22.25,55442,Nigeria,42.37,636,154
9.46,89,82.49,6.19,1.36,2385,56.46,Central,8.59,45.04,23.09,97672,USA,80.99,1889,175
9.26,36,79.9,8.29,4.27,1461,75.91,Central,7.17,12.45,4.26,43814,Mexico,48.61,1867,109
1.63,793,70.43,7.85,2.4,1526,46.95,West,6.58,43.24,6.59,4250,Nigeria,68.63,2515,487
4.08,445,69.99,6.84,3.1,2768,38.41,North,8.87,12.49,39.3,52786,Indonesia,81.17,412,298
8.31,242,36.32,6.91,0.4,1269,82.22,West,9.9,4.22,30.79,79160,Indonesia,79.27,3833,222
6.61,263,42.24,7.27,2.49,1596,46.34,West,4.27,41.02,1.02,93677,Pakistan,31.2,2415,178
3.95,374,67.43,6.9,3.49,2749,14.15,Central,7.84,38.58,21.9,17770,Mexico,86.04,2586,225
7.44,397,54.37,7.96,2.92,1547,27.45,Central,3.56,14.73,13.81,92170,USA,93.84,1564,452
8.97,947,31.33,8.44,2.24,843,56.14,East,3.3,4.51,12.46,12499,China,38.67,4610,74
9.26,382,85.87,7.46,1.12,1608,40.26,East,4.97,10.32,22.26,61628,Indonesia,46.35,480,70
3.79,356,75.77,7.12,1.55,948,36.64,West,9.8,38.55,12.81,31606,China,95.06,2275,327
1.74,447,52.8,6.56,3.5,1104,66.88,South,6.87,48.24,10.06,87310,Indonesia,98.69,3840,208
9.13,146,36.87,7.63,1.12,2016,63.63,South,4.88,12.95,37.51,23485,USA,56.28,3311,491
0.93,162,71.38,7.71,3.11,1817,31.4,East,3.93,40.91,1.59,6027,Nigeria,22.76,2882,433
7.22,353,54.4,7.71,2.95,654,35.94,South,9.44,11.4,17.45,55548,Brazil,94.63,3743,444
1.4,67,47.88,6.07,4.85,1973,75.21,East,5.54,33.98,20.45,20341,Nigeria,22.03,2519,102
3.89,229,80.5,8.25,0.3,1023,92.13,Central,5.15,4.18,17.6,24441,Indonesia,46.42,4613,40
4.12,27,52.97,6.85,0.54,1272,32.42,West,9.01,29.26,26.29,36566,Ethiopia,27.18,4400,434
1.59,437,39.52,7.86,2.53,2948,29.19,North,7.23,13.46,1.03,77626,Brazil,60.94,654,333
9.23,611,63.72,7.9,2.64,720,26.53,West,4.18,46.29,35.4,57154,Brazil,23.01,1977,279
0.03,851,87.99,7.63,0.2,593,14.15,East,5.95,14.49,20.01,45832,China,38.03,180,29
8.94,186,89.48,6.99,4.13,2642,37.72,East,9.5,19.92,22.15,47447,Mexico,56.71,4125,242
8.84,565,89.45,7.52,2.47,295,51.6,West,9.31,42.03,18.51,96458,China,25.93,3019,51
3.17,491,59.46,6.1,1.73,284,53.74,East,3.49,21.91,17.78,54928,China,58.43,764,433
7.04,503,85.37,7.9,1.59,1259,69.1,South,4.88,11.92,7.47,51178,Ethiopia,41.21,4135,56
2.53,495,89.52,6.25,4.31,615,5.26,South,4.08,27.38,20.18,47800,Nigeria,41.35,2366,189
7.59,724,62.17,6.99,0.98,794,56.14,East,6.74,42.0,16.85,46749,Nigeria,94.96,3298,78
5.61,983,52.31,6.26,0.8,2191,25.5,East,8.25,21.66,18.72,68192,Bangladesh,75.22,2779,372
3.0,512,79.14,8.09,1.07,2922,23.91,South,5.07,6.64,0.55,76651,Indonesia,94.36,4987,436
4.0,631,93.31,7.38,3.13,925,78.97,East,8.31,19.15,5.24,3294,Ethiopia,66.06,2371,195
6.9,943,98.05,7.73,4.05,2123,15.35,East,7.68,47.72,30.53,97140,Bangladesh,92.57,3390,460
9.06,714,50.32,7.71,1.65,420,32.91,West,8.1,3.6,16.76,89246,USA,86.99,1782,196
1.31,858,96.93,8.1,0.87,1542,63.76,North,9.64,20.42,29.72,48628,Indonesia,99.83,4780,30
5.71,986,64.95,6.33,1.05,678,64.29,South,5.97,32.4,6.84,69078,Indonesia,60.25,1064,331
2.54,649,51.42,7.65,3.1,2639,4.81,West,5.4,3.93,27.93,89115,Pakistan,75.69,2456,29
8.01,19,99.19,7.44,1.23,2692,7.26,North,7.79,17.25,11.56,72928,Pakistan,32.85,1346,112
0.7,328,91.45,6.08,4.39,518,65.54,East,8.65,47.03,28.2,4591,India,95.16,2227,137
6.89,615,78.47,6.5,0.52,1540,95.32,East,4.34,1.53,3.47,20118,India,51.9,1182,221
1.75,499,92.65,6.67,0.16,492,99.85,West,8.93,37.59,13.35,99239,China,93.33,4132,473
5.96,823,77.7,6.18,0.44,715,98.71,East,3.4,42.07,4.77,32021,USA,28.06,2453,171
8.36,746,60.83,6.89,4.23,1279,35.16,Central,3.04,13.85,25.19,92069,Brazil,61.22,538,389
7.55,267,96.36,6.07,3.26,769,24.18,West,4.11,10.74,15.7,35640,Brazil,20.11,2423,154
7.53,891,97.43,7.38,4.79,961,9.86,North,9.85,45.74,2.97,10896,Pakistan,53.28,2303,275
5.18,413,51.99,6.53,1.68,343,32.58,West,6.66,38.2,21.05,32357,Pakistan,26.65,248,219
8.91,233,54.81,6.72,1.06,508,27.69,South,3.33,5.67,1.0,98915,Pakistan,55.93,4788,275
5.88,780,56.79,8.28,2.81,217,57.68,West,9.98,10.61,32.74,36302,Ethiopia,64.46,1040,11
9.18,557,87.55,7.26,2.69,1574,36.88,East,8.21,31.07,37.53,38842,Mexico,88.18,1391,492
5.47,270,85.38,6.67,2.96,1389,23.15,East,8.87,20.97,32.4,71924,India,43.63,2172,84
5.06,285,98.82,7.5,1.74,1767,61.25,Central,4.49,25.21,38.06,75324,Ethiopia,65.34,1335,221
2.22,780,62.56,6.5,0.03,1335,32.31,Central,3.74,47.58,35.88,57826,Nigeria,25.32,2259,48
5.45,780,81.57,6.19,0.18,2472,35.36,Central,6.61,21.01,35.8,71085,Brazil,93.08,499,179
1.41,365,89.97,6.05,3.32,1051,59.84,North,8.41,44.08,9.82,26372,Indonesia,56.14,810,9
8.7,335,45.49,8.38,2.62,2039,11.82,Central,7.46,33.04,9.25,83377,India,40.21,4984,498
6.76,237,73.44,7.81,4.11,353,77.42,North,7.42,6.08,32.38,21715,Bangladesh,57.06,3713,260
9.94,609,68.34,8.0,1.5,309,96.54,Central,8.3,37.23,19.66,5468,Nigeria,58.52,3704,319
0.92,905,82.0,8.45,4.08,537,49.08,North,4.59,26.01,37.69,94698,India,79.46,1210,185
2.41,312,78.68,8.33,2.13,2164,55.99,West,7.63,11.25,35.89,41553,Ethiopia,97.97,3745,228
8.77,111,86.9,7.84,0.48,706,38.46,West,5.74,14.48,35.73,19650,USA,34.89,1986,391
3.95,302,51.78,7.73,4.89,2420,95.67,East,3.49,27.87,13.04,1167,Indonesia,24.36,1491,157
4.66,17,45.14,6.84,2.56,2006,13.29,North,4.41,30.09,5.32,33782,India,72.46,4270,272
8.61,623,86.36,6.26,3.15,998,81.35,South,8.56,48.41,27.12,37557,Mexico,90.77,3048,322
5.22,634,55.24,7.43,3.35,2646,65.04,East,9.27,42.74,17.62,62873,Pakistan,65.2,4919,20
1.93,217,50.13,7.44,1.81,2349,79.15,West,4.98,10.29,37.36,93635,Pakistan,26.39,2934,15
8.92,372,53.58,8.38,3.74,1188,95.05,North,4.33,38.7,34.15,34079,Indonesia,53.74,4364,479
0.31,906,34.64,7.11,4.35,2225,49.62,Central,3.19,0.41,37.15,48836,Ethiopia,72.38,1817,282
8.95,983,84.12,7.73,1.94,1472,28.83,South,9.63,6.49,22.71,22591,Pakistan,46.24,4319,114
0.51,54,80.06,7.44,3.29,684,77.95,West,7.79,9.99,21.05,55501,India,87.59,1275,5
6.66,467,68.69,6.44,3.79,2242,84.46,East,9.7,29.86,33.88,22956,Bangladesh,37.98,3022,297
0.72,531,80.13,7.48,0.95,2206,68.63,North,9.05,9.73,20.48,51172,Brazil,49.16,2877,399
7.06,351,56.12,7.35,1.66,373,84.9,South,5.38,18.26,36.0,6249,Brazil,93.31,4014,428
0.34,241,50.68,7.23,0.54,2066,73.03,North,3.79,12.14,1.38,18362,Nigeria,65.88,4087,258
8.42,754,90.36,7.28,3.01,1581,95.75,Central,6.49,16.87,14.35,48707,China,20.5,1147,39
4.66,488,59.57,6.41,4.0,1662,57.07,East,3.19,47.12,33.39,88238,USA,39.52,237,275
0.93,973,43.71,7.16,3.05,1253,38.05,North,4.05,49.87,8.4,26107,Indonesia,80.27,2122,231
7.07,948,82.43,7.51,0.9,2800,68.05,West,4.63,34.29,15.96,51790,Nigeria,24.16,4595,6
4.89,352,53.51,7.22,2.73,266,6.91,East,7.66,28.62,0.4,62285,China,99.44,1545,314
1.91,178,44.83,7.22,4.17,687,49.84,West,6.57,35.42,12.07,69105,Ethiopia,91.83,3983,394
0.16,277,31.9,6.19,1.51,984,77.34,North,5.12,38.58,12.75,50002,Mexico,37.91,4363,92
4.18,758,97.94,6.48,4.16,1761,16.9,East,6.95,36.95,29.3,19189,Mexico,91.64,986,307
0.86,273,62.71,6.8,3.92,1341,40.04,West,3.88,4.09,27.09,89628,USA,75.96,1623,386
0.94,901,41.32,7.05,0.11,920,35.03,Central,8.29,15.51,17.8,89290,Pakistan,54.03,3121,20
2.67,310,83.05,7.48,1.2,1580,33.5,Central,7.98,17.17,29.14,54443,India,35.69,3726,436
6.3,609,92.14,8.16,2.71,447,65.06,North,4.52,18.46,17.13,34532,Nigeria,36.02,3901,479
5.3,906,66.96,6.4,3.59,2183,49.75,East,7.24,17.22,17.38,63581,Nigeria,67.53,722,413
0.69,675,31.99,6.04,4.4,1830,79.73,South,6.52,39.35,25.82,56040,Indonesia,53.28,1095,486
9.68,351,55.56,7.12,3.21,2706,5.78,East,3.43,37.38,28.92,7234,Indonesia,67.62,3827,10
8.87,116,47.02,7.08,1.9,925,45.39,Central,4.95,0.23,33.88,31132,Mexico,46.42,4285,464
2.59,738,74.55,7.38,0.92,2623,1.4,West,10.0,14.82,30.06,86326,Mexico,38.41,995,408
1.22,168,66.32,8.08,3.8,1093,22.09,South,3.7,31.18,26.81,80675,Bangladesh,86.92,4661,49
9.42,833,54.9,8.01,1.03,2727,77.54,North,6.54,6.01,22.46,47114,Bangladesh,93.6,992,472
4.61,363,75.4,6.25,3.48,2891,10.61,South,8.95,3.56,12.32,53085,Pakistan,76.42,2783,264
3.11,558,70.91,8.33,0.91,2349,10.56,North,5.1,41.42,10.44,10999,Bangladesh,32.93,155,44
4.9,468,93.45,6.28,0.46,2194,40.14,South,4.82,22.63,33.73,66701,India,27.38,1895,284
7.73,909,71.78,7.59,1.26,256,77.69,North,9.24,42.78,28.69,80902,India,63.13,1776,317
1.68,81,65.54,7.68,1.42,630,63.8,North,5.13,41.18,26.62,69693,Nigeria,64.03,4768,270
7.67,642,87.66,7.7,3.24,2711,78.18,South,7.56,44.67,10.35,48841,Brazil,71.14,2116,274
7.49,181,44.17,6.66,0.8,361,4.95,South,8.18,2.41,38.79,86568,India,92.49,2420,398
5.39,236,47.05,6.83,4.65,2164,56.37,North,8.52,9.31,3.25,62841,China,71.74,54,422
8.66,738,84.85,7.37,2.77,2279,45.33,Central,9.96,14.81,33.53,79988,Mexico,93.29,84,34
1.32,616,60.96,6.5,2.45,1395,89.6,South,8.62,6.81,8.43,30686,Indonesia,29.42,2888,487
5.95,186,58.65,6.05,2.17,1205,73.73,East,7.6,24.27,15.69,72939,Bangladesh,76.74,4687,140
4.49,608,92.1,7.41,2.83,2344,42.43,West,9.27,39.95,17.12,51194,Nigeria,94.2,2779,143
4.22,945,72.71,7.16,0.11,338,55.38,North,9.34,47.56,26.51,16715,USA,57.02,2669,322
2.53,111,86.2,7.64,4.95,2539,42.48,North,9.81,44.48,21.87,93462,Indonesia,97.4,3836,244
3.72,333,86.69,6.37,2.79,340,44.11,West,8.44,22.87,7.44,99521,China,64.2,1008,350
1.08,365,38.4,8.1,0.18,1536,63.41,Central,4.36,31.82,1.2,3420,Bangladesh,95.44,2364,310
2.52,976,75.76,6.37,2.95,1888,21.65,West,7.97,11.53,28.69,33922,China,79.88,3686,192
2.72,136,96.68,8.23,2.19,397,33.32,South,3.53,20.15,20.2,91743,Mexico,56.62,4347,34
7.21,403,63.6,7.12,0.12,1644,27.92,West,5.23,43.56,14.47,6828,Mexico,22.74,2199,271
0.49,591,81.25,7.37,4.62,2081,80.08,North,3.81,1.46,11.38,59619,Pakistan,72.59,1359,384
6.51,744,69.67,8.24,0.05,2379,94.19,West,9.65,26.64,32.92,28298,Nigeria,40.34,909,177
2.21,269,44.34,6.75,2.89,2612,41.43,East,5.37,43.64,31.82,37079,Indonesia,43.09,3439,269
0.82,286,43.66,6.45,4.81,737,7.71,South,7.99,6.1,33.04,64746,Ethiopia,21.58,2913,317
3.01,819,60.37,7.11,1.19,1492,9.36,West,7.0,49.13,8.76,98672,Ethiopia,64.61,4695,390
2.24,605,63.81,6.61,1.27,2319,39.96,North,3.75,0.62,34.08,80473,Indonesia,43.14,1006,150
5.52,474,65.22,7.32,0.0,502,39.5,South,6.93,44.31,39.42,61054,USA,98.59,3052,98
3.57,381,96.85,6.69,0.33,2628,14.62,North,7.63,17.68,23.97,49015,Nigeria,79.92,1143,446
9.66,143,37.02,8.16,0.22,2226,80.71,Central,9.17,6.63,1.89,6611,China,48.6,4398,28
9.64,264,56.64,7.52,4.11,1393,50.01,East,3.49,7.87,28.09,11419,USA,43.56,3220,149
4.44,532,66.02,6.0,4.18,2534,10.91,Central,5.07,35.06,21.52,83501,Brazil,77.2,1224,207
7.95,731,97.42,8.01,3.63,367,9.87,East,7.85,43.54,28.48,56426,Indonesia,40.34,3878,348
0.13,896,65.3,6.83,1.76,414,44.6,West,3.24,32.05,7.53,78411,China,55.84,4495,261
5.48,82,84.27,6.8,4.11,1339,11.68,South,4.42,46.44,24.23,28117,Ethiopia,32.83,67,209
7.43,661,82.45,6.96,2.7,343,56.12,West,4.53,42.12,21.57,71399,India,40.33,4249,412
2.17,296,69.65,7.58,1.52,2577,38.5,East,7.69,0.45,24.1,63030,Pakistan,27.87,1014,88
0.61,680,39.15,7.11,2.19,2483,91.97,East,5.0,33.47,29.11,76569,Ethiopia,54.17,181,236
1.56,180,45.31,7.57,0.33,2087,41.89,East,7.2,15.23,21.77,3701,Nigeria,94.14,4620,247
4.42,707,46.81,6.37,4.72,668,61.44,North,9.76,22.73,12.87,7498,Mexico,28.07,4115,257
5.06,571,32.71,8.43,3.1,2943,81.14,South,8.55,4.7,12.36,27163,India,54.99,4946,491
3.81,256,56.55,7.82,3.66,2212,30.29,West,5.33,14.1,27.8,38599,Pakistan,43.87,2945,191
4.4,363,72.74,6.63,3.38,1527,51.19,West,6.31,31.63,26.55,17174,Pakistan,49.04,2057,95
4.7,729,40.1,7.81,3.34,1716,12.09,Central,4.4,10.92,16.88,7460,Brazil,81.72,2747,35
7.69,50,42.25,7.44,0.09,1943,43.28,East,3.11,32.38,14.14,39006,Brazil,54.8,1880,95
1.05,121,79.49,6.27,2.63,2817,37.58,East,5.03,46.15,24.81,69459,Bangladesh,72.03,3602,488
7.69,725,41.85,6.45,4.11,1167,42.82,East,5.59,0.25,12.49,77394,Ethiopia,97.78,654,403
6.89,890,39.47,6.1,0.22,2134,10.74,West,6.95,39.29,38.53,3999,Ethiopia,69.32,3686,438
7.42,470,98.45,8.02,4.78,2396,39.84,Central,9.61,32.07,23.86,25057,Ethiopia,46.99,2288,36
7.34,941,31.03,7.38,2.12,2823,87.03,North,9.63,2.33,23.68,46354,Bangladesh,51.81,2199,233
4.71,214,52.78,6.79,1.45,2716,93.71,South,3.49,39.51,5.45,90224,USA,75.67,2831,101
2.11,693,32.45,6.32,2.66,334,24.17,North,7.3,11.23,24.39,22452,Pakistan,75.55,3408,480
5.37,648,88.66,7.21,4.01,1019,30.05,West,3.3,13.29,11.8,83263,India,49.45,2235,179
9.58,75,70.85,7.31,2.37,218,0.96,East,7.54,4.68,18.07,83333,Nigeria,77.96,2511,324
5.89,378,33.36,7.75,3.23,1092,11.56,South,3.82,26.72,21.53,21323,Pakistan,64.05,721,69
0.11,792,73.08,8.42,2.5,2845,34.51,West,9.62,24.91,19.12,88087,Brazil,98.43,3248,405
0.6,470,38.62,7.09,3.16,2933,68.51,West,9.05,17.36,32.38,33201,China,92.65,1200,468
9.93,555,64.7,7.02,0.69,2797,29.22,West,3.16,8.44,3.98,65936,Mexico,85.91,4976,466
0.72,483,76.86,6.92,0.19,340,7.54,South,8.47,41.9,6.69,90316,Bangladesh,22.75,2462,106
0.46,719,40.4,8.07,0.68,2209,73.09,South,7.45,43.82,6.28,20874,Indonesia,50.43,4673,270
3.53,990,64.79,6.39,1.43,1523,46.68,Central,6.47,27.03,32.67,65041,China,65.86,309,353
9.69,53,62.02,6.86,1.27,605,51.92,Central,7.22,12.21,4.73,42436,Nigeria,61.73,1025,46
3.19,774,94.1,7.81,3.08,699,32.6,North,7.75,4.81,38.86,61170,Ethiopia,81.09,4412,454
4.1,682,99.7,6.04,2.28,234,61.3,South,9.19,43.43,38.77,27168,Brazil,92.73,1532,464
6.34,344,75.81,6.72,0.19,1962,89.08,South,8.37,4.8,39.67,1700,Brazil,82.97,3643,107
0.24,364,89.84,7.6,0.17,855,55.38,South,7.03,0.66,39.19,89809,Brazil,37.62,367,363
8.98,357,75.28,6.46,0.45,1652,58.75,Central,8.77,23.47,5.96,18532,Ethiopia,58.85,4650,68
5.19,371,91.34,6.76,1.77,855,37.36,West,9.91,36.56,26.3,66157,Indonesia,51.49,2652,307
4.67,399,60.33,7.22,0.03,2605,8.26,East,5.1,22.88,15.99,70406,Bangladesh,81.3,1249,422
8.61,494,72.56,7.06,2.47,223,42.85,Central,3.83,2.57,29.27,64888,China,91.61,2983,1
9.53,639,89.16,6.27,1.8,633,92.46,South,8.12,34.5,16.24,4315,Ethiopia,42.95,4575,218
4.23,817,94.27,8.35,2.78,2462,68.02,Central,9.85,32.12,15.33,37675,Nigeria,59.11,3028,44
1.72,271,31.73,6.11,3.6,563,49.02,North,3.82,34.08,36.16,48021,Bangladesh,78.55,3134,407
8.16,84,37.28,7.87,1.25,2714,62.09,South,6.02,10.56,19.78,64748,Nigeria,24.0,4095,232
4.03,535,95.18,6.18,0.79,1024,55.85,North,3.44,39.78,29.59,18236,Bangladesh,97.05,939,188
